joint id: 6, measured_angle: 0.008245, target_angle: 0.016345, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.006268, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.009863, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001518, target_angle: 0.006498, newest_measurement_index: 11546
joint id: 1, measured_angle: -0.106603, target_angle: -0.098447, newest_measurement_index: 11660
joint id: 2, measured_angle: -0.002704, target_angle: -0.010860, newest_measurement_index: 11660
joint id: 3, measured_angle: -0.001135, target_angle: 0.007230, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.108750, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.008942, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.016645, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.006568, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.010163, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001484, target_angle: 0.006798, newest_measurement_index: 11547
joint id: 1, measured_angle: -0.106603, target_angle: -0.098147, newest_measurement_index: 11661
joint id: 2, measured_angle: -0.002704, target_angle: -0.011160, newest_measurement_index: 11661
joint id: 3, measured_angle: -0.001135, target_angle: 0.007530, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.108450, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.009242, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.016945, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.006868, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.010463, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001484, target_angle: 0.007098, newest_measurement_index: 11548
joint id: 1, measured_angle: -0.106603, target_angle: -0.097847, newest_measurement_index: 11662
joint id: 2, measured_angle: -0.002739, target_angle: -0.011460, newest_measurement_index: 11662
joint id: 3, measured_angle: -0.001135, target_angle: 0.007830, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.108150, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.009542, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.017245, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.007168, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.010763, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001449, target_angle: 0.007398, newest_measurement_index: 11549
joint id: 1, measured_angle: -0.106603, target_angle: -0.097547, newest_measurement_index: 11663
joint id: 2, measured_angle: -0.002739, target_angle: -0.011760, newest_measurement_index: 11663
joint id: 3, measured_angle: -0.001135, target_angle: 0.008130, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.107850, newest_measurement_index: 9551
