joint id: 7, measured_angle: -0.021449, target_angle: -0.013649, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.013015, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010708, target_angle: -0.002887, newest_measurement_index: 9990
joint id: 1, measured_angle: -0.010220, target_angle: -0.002364, newest_measurement_index: 10068
joint id: 2, measured_angle: 0.016424, target_angle: 0.008708, newest_measurement_index: 10068
joint id: 3, measured_angle: 0.001550, target_angle: 0.009650, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.009441, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.015314, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.031394, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.013349, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.013315, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010708, target_angle: -0.002587, newest_measurement_index: 9991
joint id: 1, measured_angle: -0.010185, target_angle: -0.002064, newest_measurement_index: 10069
joint id: 2, measured_angle: 0.016424, target_angle: 0.008408, newest_measurement_index: 10069
joint id: 3, measured_angle: 0.001550, target_angle: 0.009950, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.009741, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.015014, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.031694, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.013049, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.013615, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010674, target_angle: -0.002287, newest_measurement_index: 9992
joint id: 1, measured_angle: -0.010185, target_angle: -0.001764, newest_measurement_index: 10070
joint id: 2, measured_angle: 0.016389, target_angle: 0.008108, newest_measurement_index: 10070
joint id: 3, measured_angle: 0.001550, target_angle: 0.010250, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.010041, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.014714, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.031994, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.012749, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.013915, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010674, target_angle: -0.001987, newest_measurement_index: 9993
joint id: 1, measured_angle: -0.010185, target_angle: -0.001464, newest_measurement_index: 10071
joint id: 2, measured_angle: 0.016354, target_angle: 0.007808, newest_measurement_index: 10071
joint id: 3, measured_angle: 0.001550, target_angle: 0.010550, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.010341, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.014414, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.032294, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.012449, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.014215, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010639, target_angle: -0.001687, newest_measurement_index: 9994
joint id: 1, measured_angle: -0.010151, target_angle: -0.001164, newest_measurement_index: 10072
joint id: 2, measured_angle: 0.016354, target_angle: 0.007508, newest_measurement_index: 10072
joint id: 3, measured_angle: 0.001550, target_angle: 0.010850, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.010641, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.014114, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.032594, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.012149, newest_measurement_index: 5070
joint id: 8, measured_angle: -0.005215, target_angle: -0.014515, newest_measurement_index: 5070
joint id: 0, measured_angle: -0.010639, target_angle: -0.001387, newest_measurement_index: 9996
joint id: 1, measured_angle: -0.010151, target_angle: -0.000864, newest_measurement_index: 10073
joint id: 2, measured_angle: 0.016320, target_angle: 0.007208, newest_measurement_index: 10073
joint id: 3, measured_angle: 0.001550, target_angle: 0.011150, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.010941, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.013814, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.032894, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.011849, newest_measurement_index: 5070
joint id: 8, measured_angle: -0.005215, target_angle: -0.014815, newest_measurement_index: 5070
joint id: 0, measured_angle: -0.010604, target_angle: -0.001087, newest_measurement_index: 9997
joint id: 1, measured_angle: -0.010151, target_angle: -0.000564, newest_measurement_index: 10074
joint id: 2, measured_angle: 0.016285, target_angle: 0.006908, newest_measurement_index: 10074
joint id: 3, measured_angle: 0.001550, target_angle: 0.011450, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.011241, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.013514, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.033194, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.011549, newest_measurement_index: 5070
joint id: 8, measured_angle: -0.005215, target_angle: -0.015115, newest_measurement_index: 5070
joint id: 0, measured_angle: -0.010604, target_angle: -0.000787, newest_measurement_index: 9998
joint id: 1, measured_angle: -0.010116, target_angle: -0.000264, newest_measurement_index: 10075
joint id: 2, measured_angle: 0.016250, target_angle: 0.006608, newest_measurement_index: 10075
joint id: 3, measured_angle: 0.001550, target_angle: 0.011750, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.011541, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.013214, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.033494, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.011249, newest_measurement_index: 5071
joint id: 8, measured_angle: -0.005215, target_angle: -0.015415, newest_measurement_index: 5071
joint id: 0, measured_angle: -0.010604, target_angle: -0.000487, newest_measurement_index: 9999
