joint id: 4, measured_angle: -0.107595, target_angle: -0.100395, newest_measurement_index: 9618
joint id: 5, measured_angle: -0.000507, target_angle: -0.007707, newest_measurement_index: 9618
joint id: 6, measured_angle: 0.008280, target_angle: 0.015480, newest_measurement_index: 9298
joint id: 7, measured_angle: -0.002076, target_angle: 0.005193, newest_measurement_index: 9402
joint id: 8, measured_angle: -0.001867, target_angle: -0.009067, newest_measurement_index: 9402
joint id: 0, measured_angle: -0.001867, target_angle: 0.004637, newest_measurement_index: 11798
joint id: 1, measured_angle: -0.098374, target_angle: -0.091083, newest_measurement_index: 11915
joint id: 2, measured_angle: -0.002355, target_angle: -0.009681, newest_measurement_index: 11915
joint id: 3, measured_angle: -0.001030, target_angle: 0.006470, newest_measurement_index: 9510
joint id: 4, measured_angle: -0.107595, target_angle: -0.100095, newest_measurement_index: 9618
joint id: 5, measured_angle: -0.000507, target_angle: -0.008007, newest_measurement_index: 9618
joint id: 6, measured_angle: 0.008280, target_angle: 0.015780, newest_measurement_index: 9299
joint id: 7, measured_angle: -0.002076, target_angle: 0.005493, newest_measurement_index: 9402
joint id: 8, measured_angle: -0.001867, target_angle: -0.009367, newest_measurement_index: 9402
joint id: 0, measured_angle: -0.001867, target_angle: 0.004937, newest_measurement_index: 11800
joint id: 1, measured_angle: -0.098374, target_angle: -0.090783, newest_measurement_index: 11916
joint id: 2, measured_angle: -0.002390, target_angle: -0.009981, newest_measurement_index: 11917
joint id: 3, measured_angle: -0.001030, target_angle: 0.006770, newest_measurement_index: 9511
joint id: 4, measured_angle: -0.107595, target_angle: -0.099795, newest_measurement_index: 9618
joint id: 5, measured_angle: -0.000507, target_angle: -0.008307, newest_measurement_index: 9618
joint id: 6, measured_angle: 0.008280, target_angle: 0.016080, newest_measurement_index: 9299
joint id: 7, measured_angle: -0.002042, target_angle: 0.005793, newest_measurement_index: 9403
joint id: 8, measured_angle: -0.001867, target_angle: -0.009667, newest_measurement_index: 9403
joint id: 0, measured_angle: -0.001867, target_angle: 0.005237, newest_measurement_index: 11801
joint id: 1, measured_angle: -0.098339, target_angle: -0.090483, newest_measurement_index: 11917
joint id: 2, measured_angle: -0.002425, target_angle: -0.010281, newest_measurement_index: 11918
joint id: 3, measured_angle: -0.001030, target_angle: 0.007070, newest_measurement_index: 9511
joint id: 4, measured_angle: -0.107595, target_angle: -0.099495, newest_measurement_index: 9619
joint id: 5, measured_angle: -0.000507, target_angle: -0.008607, newest_measurement_index: 9619
joint id: 6, measured_angle: 0.008280, target_angle: 0.016380, newest_measurement_index: 9299
joint id: 7, measured_angle: -0.002042, target_angle: 0.006093, newest_measurement_index: 9403
joint id: 8, measured_angle: -0.001867, target_angle: -0.009967, newest_measurement_index: 9403
joint id: 0, measured_angle: -0.001867, target_angle: 0.005537, newest_measurement_index: 11802
joint id: 1, measured_angle: -0.098304, target_angle: -0.090183, newest_measurement_index: 11919
joint id: 2, measured_angle: -0.002425, target_angle: -0.010581, newest_measurement_index: 11919
joint id: 3, measured_angle: -0.001030, target_angle: 0.007370, newest_measurement_index: 9511
joint id: 4, measured_angle: -0.107595, target_angle: -0.099195, newest_measurement_index: 9619
joint id: 5, measured_angle: -0.000507, target_angle: -0.008907, newest_measurement_index: 9619
joint id: 6, measured_angle: 0.008280, target_angle: 0.016680, newest_measurement_index: 9299
joint id: 7, measured_angle: -0.002042, target_angle: 0.006393, newest_measurement_index: 9403
joint id: 8, measured_angle: -0.001867, target_angle: -0.010267, newest_measurement_index: 9403
joint id: 0, measured_angle: -0.001832, target_angle: 0.005837, newest_measurement_index: 11803
joint id: 1, measured_angle: -0.098269, target_angle: -0.089883, newest_measurement_index: 11920
joint id: 2, measured_angle: -0.002460, target_angle: -0.010881, newest_measurement_index: 11920
joint id: 3, measured_angle: -0.001030, target_angle: 0.007670, newest_measurement_index: 9512
joint id: 4, measured_angle: -0.107595, target_angle: -0.098895, newest_measurement_index: 9619
joint id: 5, measured_angle: -0.000507, target_angle: -0.009207, newest_measurement_index: 9619
joint id: 6, measured_angle: 0.008280, target_angle: 0.016980, newest_measurement_index: 9300
joint id: 7, measured_angle: -0.002007, target_angle: 0.006693, newest_measurement_index: 9404
joint id: 8, measured_angle: -0.001867, target_angle: -0.010567, newest_measurement_index: 9404
joint id: 0, measured_angle: -0.001797, target_angle: 0.006137, newest_measurement_index: 11804
joint id: 1, measured_angle: -0.098234, target_angle: -0.089583, newest_measurement_index: 11921
joint id: 2, measured_angle: -0.002495, target_angle: -0.011181, newest_measurement_index: 11921
joint id: 3, measured_angle: -0.001030, target_angle: 0.007970, newest_measurement_index: 9513
joint id: 4, measured_angle: -0.107595, target_angle: -0.098595, newest_measurement_index: 9620
joint id: 5, measured_angle: -0.000507, target_angle: -0.009507, newest_measurement_index: 9620
joint id: 6, measured_angle: 0.008280, target_angle: 0.017280, newest_measurement_index: 9300
joint id: 7, measured_angle: -0.002007, target_angle: 0.006993, newest_measurement_index: 9404
joint id: 8, measured_angle: -0.001867, target_angle: -0.010867, newest_measurement_index: 9404
joint id: 0, measured_angle: -0.001763, target_angle: 0.006437, newest_measurement_index: 11805
joint id: 1, measured_angle: -0.098199, target_angle: -0.089283, newest_measurement_index: 11922
